NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,Subspecies,NodeNotes
19,19,1,Adult,19.1,Hesionid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Hesionidae,,,,
20,20,1,Adult,20.1,Exogone sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Exogone,sp. 1,,
21,21,1,Adult,21.1,Exogone sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Exogone ,sp. 2,,
22,22,1,Adult,22.1,Perinereis nuntia,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Perinereis,nuntia,,
23,23,1,Adult,23.1,Sphaerodorum sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Sphaerodorum,sp.,,
24,24,1,Adult,24.1,Spio sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Spio,sp.1,,
25,25,1,Adult,25.1,Spio sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Spio,sp. 2,,
26,26,1,Adult,26.1,Boccardia syrtis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Boccardia,syrtis,,
27,27,1,Adult,27.1,Boccardia acus,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Boccardia,acus,,
28,28,1,Adult,28.1,Malacoceros sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Malacoceros,sp.,,
29,29,1,Adult,29.1,Prinospio sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Prinospio,sp. 1,,
30,30,1,Adult,30.1,Colurostylis lemurum,Cumacean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustaccea,,,Cumacea,,,,,,,Colurostylis,lemurum,,
31,31,1,Adult,31.1,Diastylopsis thileniusi,Cumacean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustaccea,,,Cumacea,,,,,,,Diastylopsis,thileniusi,,
32,32,1,Adult,32.1,Tanaisus sp.,Tanaid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Tanaidacea,,,,,Tanaisus,sp.,,
33,33,1,Adult,33.1,Heterophoxus stephenseni,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Heterophoxus,stephenseni,,
34,34,1,Adult,34.1,Phoxocephalus regium,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Phoxocephalus,regium,,
35,35,1,Adult,35.1,Pontharpinia australis,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Pontharpinia,australis,,
36,36,1,Adult,36.1,Amphipod 1,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,,,,
37,37,1,Adult,37.1,Paracalliope sp.,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Paracalliope,sp.,,
38,38,1,Adult,38.1,Cymodopsis montis,Isopod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Isopoda,,,,,,,Cymodopsis,montis,,
39,39,1,Adult,39.1,Ghost Shrimp,Burrowing Shrimp,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Thalassinidea,,,,,Callianassa,filholi,,
40,40,1,Adult,40.1,Mantis Shrimp,Burrowing Shrimp,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Stomatopoda,,,,,Heterosquilla,tricarinata,,
41,41,1,Adult,41.1,Stalk-eyed mud crab,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Macrophthalmus,hirtipes,,
42,42,1,Adult,42.1,Hairy-handed crab,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Hemigrapsus,crenulatus,,
43,43,1,Adult,43.1,Common rock crab,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Hemigrapsus,edwardsii,,
44,44,1,Adult,44.1,Notoacmea helmsi,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Notoacmea,helmsi,,
45,45,1,Adult,45.1,Diloma subrostrata,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Diloma,subrostrata,,
46,46,1,Adult,46.1,Zeacumantus subcarinatus,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Zeacumantus,subcarinatus,,
47,47,1,Adult,47.1,Pyramidellid 1,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,Pyramidellidae,,,,
48,48,1,Adult,48.1,Cominella glandiformis,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Cominella,glandiformis,,
49,49,1,Adult,49.1,Nucula dunedinensis,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Nucula,dunedinensis,,
50,50,1,Adult,50.1,Perrierina turneri,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Perrierina,turneri,,
51,51,1,Adult,51.1,Large wedge shell,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Macomona,liliana,,
52,52,1,Adult,52.1,New Zealand cockle,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Austrovenus,stutchburyi,,
53,53,1,Adult,53.1,Pelecypod 1,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,,,,
54,54,1,Adult,54.1,Paphies sp.,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Paphies,sp.,,
55,55,1,Adult,55.1,Phoronid 1,Phronoid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Phoronida,,,,,,,,,,,,,
56,56,1,Adult,56.1,Edwardsia leucomelos,Anthozoan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Cnidaria,,,Anthozoa,,,,,,,Edwardsia ,leucomelos,,
57,57,1,Adult,57.1,Nemertine 1,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,,,,,,,,,,,
58,58,1,Adult,58.1,Nemertine 2,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,,,,,,,,,,,
59,59,1,Adult,59.1,Nemertine 3,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,,,,,,,,,,,
60,60,1,Adult,60.1,Enopla 3,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,Enopla,,,,,,,,,,
61,61,1,Adult,61.1,Capitellid 3,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Capittelidae,,,,
62,62,1,Adult,62.1,Travisia sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Travisia,sp.,,
63,63,1,Adult,63.1,Armandia sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Armandia,sp.,,
64,64,1,Adult,64.1,Naineris sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Naineris,sp.,,
65,65,1,Adult,65.1,Scoloplos cylindrifer,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Scoloplos,cylindrifer,,
66,66,1,Adult,66.1,Leitoscoloplos sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Leitoscoloplos,sp.,,
67,67,1,Adult,67.1,Glycera sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Glycera,sp.,,
68,68,1,Adult,68.1,Macrolymenella sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Macrolymenella,sp. ,,
69,69,1,Adult,69.1,Dorvillea incerta,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Dorvillea,incerta,,
70,70,1,Adult,70.1,Goniadid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Goniadidae,,,,
71,71,1,Adult,71.1,Hesionid 2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Hesionidae,,,,
72,72,1,Adult,72.1,Geminosyllis sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Geminosyllis,sp.,,
73,73,1,Adult,73.1,Exogone sp.3,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Exogone,sp. 3,,
74,74,1,Adult,74.1,Aglaophamus sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Aglaophamus,sp. 1,,
75,75,1,Adult,75.1,Perinereis sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Perinereis,sp. 2 ,,
76,76,1,Adult,76.1,Tharyx sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Tharyx,sp.,,
77,77,1,Adult,77.1,Prinospio sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Prinospio,sp. 2 ,,
78,78,1,Adult,78.1,Aonides sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Aonides,sp. 1,,
79,79,1,Adult,79.1,Terebellid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Terebellidae,,,,
80,80,1,Adult,80.1,Terebellid 2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Terebellidae,,,,
81,81,1,Adult,81.1,Pectinaria sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Pectinaria,sp. ,,
82,82,1,Adult,82.1,Diastilid 3,Cumacean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Cumacea ,,,,,,Diastillidae,,,,
83,83,1,Adult,83.1,Neballid 1,Leptostracan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Leptostraca,,,,Neballidae,,,,
84,84,1,Adult,84.1,Lysianassid 1,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,Lysianassidae,,,,
85,85,1,Adult,85.1,Lysianassid 2,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,Lysianassidae,,,,
86,86,1,Adult,86.1,Paracorophium lucasi,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Paracorophium,lucasi,,
87,87,1,Adult,87.1,Aora sp.,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Aora,sp.,,
88,88,1,Adult,88.1,Oedicerotid,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,Oedicerotidae,,,,
89,89,1,Adult,89.1,Exosphaeroma planulum,Isopod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Isopoda,,,,,,Sphaeromatidae,Exosphaeroma,planulum,,
90,90,1,Adult,90.1,Pseudophaeroma campbellensis,Isopod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Isopoda,,,,,,Sphaeromatidae,Pseudophaeroma,campbellensis,,
91,91,1,Adult,91.1,Halicarcinus whitei,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Halicarcinus,whitei,,
92,92,1,Adult,92.1,Glaucus sp.,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Glaucus,sp.,,
93,93,1,Adult,93.1,Littorina antipodum,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Littorina,antipodum,,
94,94,1,Adult,94.1,Neoguraleus sp. 1,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Neoguraleus,sp. 1,,
95,95,1,Adult,95.1,Cominella sp. 1,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Cominella,sp. 1,,
96,96,1,Adult,96.1,Buccinulum pertinax,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Buccinulum,pertinax,,
97,97,1,Adult,97.1,Holothuroid 1,Holothuroidean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Echinodermata,,,Holothuroidea,,,,,,,,,,
98,98,1,Adult,98.1,Green-lipped mussel,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Perna,canaliculus,,
99,99,1,Adult,99.1,Amphibola crenata,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Amphibola,crenata,,
100,100,1,Adult,100.1,Flatfish spp.,Fish,Taxon,Order,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,,,,
101,101,1,Adult,101.1,Yellow-eye mullet,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Aldrichetta,forsteri,,
102,102,1,Adult,102.1,New Zealand spotty,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Notolabrus,celidotus,,
103,103,1,Adult,103.1,Garfish,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Hyporhamphus,ihi,,
104,104,1,Adult,104.1,Snoek,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Thyrsites,atun,,
105,105,1,Adult,105.1,Stingray sp.,Elasmobranch,Taxon,Family,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,,,,
106,106,1,Adult,106.1,Dogfish sp.,Elasmobranch,Taxon,Order,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,,,,
107,107,1,Adult,107.1,Oystercatcher 1,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Haematopus ,sp. 1,,
108,108,1,Adult,108.1,Oystercatcher 2,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Haematopus ,sp. 2,,
109,109,1,Adult,109.1,Masked Lapwing,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Vanellus,miles,,
110,110,1,Adult,110.1,Black-billed Gull,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Larus,bulleri,,
111,111,1,Adult,111.1,Silver Gull,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Larus,novaehollandiae,,
112,112,1,Adult,112.1,White-fronted Heron,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Ardea,novaehollandiae,,
113,113,1,Adult,113.1,White-fronted Tern,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Sterna,striata,,
114,114,1,Adult,114.1,Mallard Duck,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Anas,platyrhynchos,,
115,115,1,Adult,115.1,Caspian Tern,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Sterna,caspia,,
116,116,1,Adult,116.1,Black-winged Stilt,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Himantopus,himantopus,,
117,117,1,Adult,117.1,Paradise Shelduck,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Tadorna,variegata,,
118,118,1,Adult,118.1,Grey Duck,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Anas,superciliosa,,
119,119,1,Adult,119.1,Royal Spoonbill,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Platalea,regia,,
